Idi i smotri	 --- Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova	 --- 1985	 --- 63,447	 --- 8.3
Singin' in the Rain	 --- Stanley Donen (dir.), Gene Kelly, Donald O'Connor	 --- 1952	 --- 223,644	 --- 8.3
North by Northwest	 --- Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint	 --- 1959	 --- 304,621	 --- 8.3
Eternal Sunshine of the Spotless Mind	 --- Michel Gondry (dir.), Jim Carrey, Kate Winslet	 --- 2004	 --- 930,168	 --- 8.3
Ladri di biciclette	 --- Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola	 --- 1948	 --- 150,432	 --- 8.3
Ikiru	 --- Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko	 --- 1952	 --- 70,859	 --- 8.3
Lawrence of Arabia	 --- David Lean (dir.), Peter O'Toole, Alec Guinness	 --- 1962	 --- 273,337	 --- 8.2
The Kid	 --- Charles Chaplin (dir.), Charles Chaplin, Edna Purviance	 --- 1921	 --- 116,703	 --- 8.2
The Father	 --- Florian Zeller (dir.), Anthony Hopkins, Olivia Colman	 --- 2020	 --- 67,445	 --- 8.2
Full Metal Jacket	 --- Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey	 --- 1987	 --- 687,977	 --- 8.2
Dangal	 --- Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar	 --- 2016	 --- 164,734	 --- 8.2
A Clockwork Orange	 --- Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee	 --- 1971	 --- 771,483	 --- 8.2
Taxi Driver	 --- Martin Scorsese (dir.), Robert De Niro, Jodie Foster	 --- 1976	 --- 743,546	 --- 8.2
Metropolis	 --- Fritz Lang (dir.), Brigitte Helm, Alfred Abel	 --- 1927	 --- 163,116	 --- 8.2
The Sting	 --- George Roy Hill (dir.), Paul Newman, Robert Redford	 --- 1973	 --- 246,087	 --- 8.2
Double Indemnity	 --- Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck	 --- 1944	 --- 146,577	 --- 8.2
1917	 --- Sam Mendes (dir.), Dean-Charles Chapman, George MacKay	 --- 2019	 --- 465,294	 --- 8.2
The Apartment	 --- Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine	 --- 1960	 --- 167,997	 --- 8.2
Le fabuleux destin d'Amélie Poulain	 --- Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz	 --- 2001	 --- 714,934	 --- 8.2
Jodaeiye Nader az Simin	 --- Asghar Farhadi (dir.), Payman Maadi, Leila Hatami	 --- 2011	 --- 225,840	 --- 8.2
Incendies	 --- Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin	 --- 2010	 --- 156,210	 --- 8.2
Snatch	 --- Guy Ritchie (dir.), Jason Statham, Brad Pitt	 --- 2000	 --- 796,659	 --- 8.2
Scarface	 --- Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer	 --- 1983	 --- 761,257	 --- 8.2
Toy Story 3	 --- Lee Unkrich (dir.), Tom Hanks, Tim Allen	 --- 2010	 --- 771,826	 --- 8.2
To Kill a Mockingbird	 --- Robert Mulligan (dir.), Gregory Peck, John Megna	 --- 1962	 --- 298,265	 --- 8.2
Per qualche dollaro in più	 --- Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef	 --- 1965	 --- 237,560	 --- 8.2
Up	 --- Pete Docter (dir.), Edward Asner, Jordan Nagai	 --- 2009	 --- 956,258	 --- 8.2
Indiana Jones and the Last Crusade	 --- Steven Spielberg (dir.), Harrison Ford, Sean Connery	 --- 1989	 --- 703,972	 --- 8.2
